KO	Category	SuperPathway	SubPathway
K00182	Environmental Information Processing	Signal Transduction	Hedgehog signaling pathway
K00182	Organismal Systems	Endocrine System	Melanogenesis
K00182	Human Diseases	Cancers	Pathways in cancer
K00182	Human Diseases	Cancers	Basal cell carcinoma
K00182	Human Diseases	Infectious Diseases	HTLV-I infection
K00183	Unknown function	Unknown function	Unknown function
K00184	Unknown function	Unknown function	Unknown function
K00185	Unknown function	Unknown function	Unknown function
K00186	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00187	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00188	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00189	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00190	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00190	Metabolism	Energy Metabolism	Methane metabolism
K00192	Metabolism	Energy Metabolism	Methane metabolism
K00192	Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
K00193	Metabolism	Energy Metabolism	Methane metabolism
K00193	Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
K00194	Metabolism	Energy Metabolism	Methane metabolism
K00194	Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
K00195	Metabolism	Energy Metabolism	Methane metabolism
K00195	Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
K00196	Metabolism	Energy Metabolism	Methane metabolism
K00196	Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
K00197	Metabolism	Energy Metabolism	Methane metabolism
K00197	Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
K00198	Metabolism	Energy Metabolism	Methane metabolism
K00198	Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
K00200	Metabolism	Energy Metabolism	Methane metabolism
K00201	Metabolism	Energy Metabolism	Methane metabolism
K00202	Metabolism	Energy Metabolism	Methane metabolism
K00203	Metabolism	Energy Metabolism	Methane metabolism
K00204	Metabolism	Energy Metabolism	Methane metabolism
K00205	Metabolism	Energy Metabolism	Methane metabolism
K00206	Metabolism	Xenobiotics Biodegradation and Metabolism	1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
K00207	Metabolism	Nucleotide Metabolism	Pyrimidine metabolism
K00207	Metabolism	Metabolism of Other Amino Acids	beta-Alanine metabolism
K00207	Metabolism	Metabolism of Cofactors and Vitamins	Pantothenate and CoA biosynthesis
K00207	Metabolism	Xenobiotics Biodegradation and Metabolism	Drug metabolism - other enzymes
K00208	Metabolism	Lipid Metabolism	Fatty acid biosynthesis
K00208	Metabolism	Lipid Metabolism	Lipid biosynthesis proteins
K00209	Unknown function	Unknown function	Unknown function
K00210	Metabolism	Amino Acid Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
K00210	Metabolism	Biosynthesis of Other Secondary Metabolites	Novobiocin biosynthesis
K00211	Metabolism	Amino Acid Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
K00212	Metabolism	Xenobiotics Biodegradation and Metabolism	Metabolism of xenobiotics by cytochrome P450
K00213	Metabolism	Lipid Metabolism	Steroid biosynthesis
K00214	Metabolism	Metabolism of Cofactors and Vitamins	Porphyrin and chlorophyll metabolism
K00215	Metabolism	Amino Acid Metabolism	Lysine biosynthesis
K00216	Metabolism	Metabolism of Terpenoids and Polyketides	Biosynthesis of siderophore group nonribosomal peptides
K00217	Metabolism	Xenobiotics Biodegradation and Metabolism	Benzoate degradation
K00217	Metabolism	Xenobiotics Biodegradation and Metabolism	Fluorobenzoate degradation
K00217	Metabolism	Xenobiotics Biodegradation and Metabolism	Chlorocyclohexane and chlorobenzene degradation
K00217	Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
K00218	Metabolism	Metabolism of Cofactors and Vitamins	Porphyrin and chlorophyll metabolism
K00219	Unknown function	Unknown function	Unknown function
K00220	Metabolism	Amino Acid Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
K00220	Metabolism	Biosynthesis of Other Secondary Metabolites	Novobiocin biosynthesis
K00221	Unknown function	Unknown function	Unknown function
K00222	Metabolism	Lipid Metabolism	Steroid biosynthesis
K00223	Metabolism	Lipid Metabolism	Steroid biosynthesis
K00224	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K00224	Metabolism	Xenobiotics Biodegradation and Metabolism	Chlorocyclohexane and chlorobenzene degradation
K00224	Metabolism	Xenobiotics Biodegradation and Metabolism	1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
K00224	Metabolism	Xenobiotics Biodegradation and Metabolism	Polycyclic aromatic hydrocarbon degradation
K00225	Metabolism	Carbohydrate Metabolism	Ascorbate and aldarate metabolism
K00226	Metabolism	Nucleotide Metabolism	Pyrimidine metabolism
K00227	Metabolism	Lipid Metabolism	Steroid biosynthesis
K00228	Metabolism	Metabolism of Cofactors and Vitamins	Porphyrin and chlorophyll metabolism
K00230	Metabolism	Metabolism of Cofactors and Vitamins	Porphyrin and chlorophyll metabolism
K00231	Metabolism	Metabolism of Cofactors and Vitamins	Porphyrin and chlorophyll metabolism
K00232	Metabolism	Lipid Metabolism	Fatty acid metabolism
K00232	Metabolism	Lipid Metabolism	alpha-Linolenic acid metabolism
K00232	Metabolism	Lipid Metabolism	Biosynthesis of unsaturated fatty acids
K00232	Cellular Processes	Transport and Catabolism	Peroxisome
K00232	Organismal Systems	Endocrine System	PPAR signaling pathway
K00234	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00234	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00234	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K00234	Human Diseases	Neurodegenerative Diseases	Parkinson's disease
K00234	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K00235	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00235	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00235	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K00235	Human Diseases	Neurodegenerative Diseases	Parkinson's disease
K00235	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K00236	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00236	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00236	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K00236	Human Diseases	Neurodegenerative Diseases	Parkinson's disease
K00236	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K00237	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00237	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00237	Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
K00237	Human Diseases	Neurodegenerative Diseases	Parkinson's disease
K00237	Human Diseases	Neurodegenerative Diseases	Huntington's disease
K00239	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00239	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00239	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00239	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00239	Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
K00239	Human Diseases	Infectious Diseases	Legionellosis
K00240	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00240	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00240	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00240	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00240	Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
K00241	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00241	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00241	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00241	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00241	Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
K00242	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00242	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00242	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00242	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00242	Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
K00243	Unknown function	Unknown function	Unknown function
K00244	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00244	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00244	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00244	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00244	Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
K00244	Environmental Information Processing	Signal Transduction	Two-component system
K00245	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00245	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00245	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00245	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00245	Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
K00245	Environmental Information Processing	Signal Transduction	Two-component system
K00246	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00246	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00246	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00246	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00246	Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
K00246	Environmental Information Processing	Signal Transduction	Two-component system
K00247	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00247	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00247	Metabolism	Energy Metabolism	Oxidative phosphorylation
K00247	Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
K00247	Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
K00247	Environmental Information Processing	Signal Transduction	Two-component system
K00248	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00248	Metabolism	Lipid Metabolism	Fatty acid metabolism
K00248	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00249	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K00249	Metabolism	Lipid Metabolism	Fatty acid metabolism
K00249	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00249	Metabolism	Metabolism of Other Amino Acids	beta-Alanine metabolism
K00249	Organismal Systems	Endocrine System	PPAR signaling pathway
K00251	Metabolism	Lipid Metabolism	Primary bile acid biosynthesis
K00251	Metabolism	Lipid Metabolism	Steroid hormone biosynthesis
K00252	Metabolism	Lipid Metabolism	Fatty acid metabolism
K00252	Metabolism	Amino Acid Metabolism	Lysine degradation
K00252	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K00252	Metabolism	Xenobiotics Biodegradation and Metabolism	Benzoate degradation
K00253	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00254	Metabolism	Nucleotide Metabolism	Pyrimidine metabolism
K00255	Metabolism	Lipid Metabolism	Fatty acid metabolism
K00255	Organismal Systems	Endocrine System	PPAR signaling pathway
K00256	Unknown function	Unknown function	Unknown function
K00257	Metabolism	Metabolism of Terpenoids and Polyketides	Geraniol degradation
K00258	Metabolism	Xenobiotics Biodegradation and Metabolism	1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
K00258	Metabolism	Xenobiotics Biodegradation and Metabolism	Bisphenol degradation
K00259	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00259	Metabolism	Metabolism of Other Amino Acids	Taurine and hypotaurine metabolism
K00260	Metabolism	Energy Metabolism	Nitrogen metabolism
K00260	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00260	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
K00260	Metabolism	Metabolism of Other Amino Acids	Taurine and hypotaurine metabolism
K00261	Metabolism	Energy Metabolism	Nitrogen metabolism
K00261	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00261	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
K00261	Metabolism	Metabolism of Other Amino Acids	D-Glutamine and D-glutamate metabolism
K00261	Organismal Systems	Excretory System	Proximal tubule bicarbonate reclamation
K00262	Metabolism	Energy Metabolism	Nitrogen metabolism
K00262	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00262	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
K00263	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00263	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine biosynthesis
K00264	Metabolism	Energy Metabolism	Nitrogen metabolism
K00264	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00265	Metabolism	Energy Metabolism	Nitrogen metabolism
K00265	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00266	Metabolism	Energy Metabolism	Nitrogen metabolism
K00266	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00270	Metabolism	Amino Acid Metabolism	Phenylalanine metabolism
K00270	Metabolism	Amino Acid Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
K00271	Unknown function	Unknown function	Unknown function
K00272	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00272	Cellular Processes	Transport and Catabolism	Peroxisome
K00273	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00273	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
K00273	Metabolism	Metabolism of Other Amino Acids	D-Arginine and D-ornithine metabolism
K00273	Metabolism	Biosynthesis of Other Secondary Metabolites	Penicillin and cephalosporin biosynthesis
K00273	Cellular Processes	Transport and Catabolism	Peroxisome
K00274	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00274	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
K00274	Metabolism	Amino Acid Metabolism	Histidine metabolism
K00274	Metabolism	Amino Acid Metabolism	Tyrosine metabolism
K00274	Metabolism	Amino Acid Metabolism	Phenylalanine metabolism
K00274	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K00274	Metabolism	Biosynthesis of Other Secondary Metabolites	Isoquinoline alkaloid biosynthesis
K00274	Metabolism	Xenobiotics Biodegradation and Metabolism	Drug metabolism - cytochrome P450
K00274	Organismal Systems	Nervous System	Dopaminergic synapse
K00275	Metabolism	Metabolism of Cofactors and Vitamins	Vitamin B6 metabolism
K00276	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00276	Metabolism	Amino Acid Metabolism	Tyrosine metabolism
K00276	Metabolism	Amino Acid Metabolism	Phenylalanine metabolism
K00276	Metabolism	Metabolism of Other Amino Acids	beta-Alanine metabolism
K00276	Metabolism	Biosynthesis of Other Secondary Metabolites	Isoquinoline alkaloid biosynthesis
K00276	Metabolism	Biosynthesis of Other Secondary Metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K00277	Unknown function	Unknown function	Unknown function
K00278	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00278	Metabolism	Metabolism of Cofactors and Vitamins	Nicotinate and nicotinamide metabolism
K00279	Metabolism	Metabolism of Terpenoids and Polyketides	Zeatin biosynthesis
K00280	Unknown function	Unknown function	Unknown function
K00281	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00282	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00283	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00284	Metabolism	Energy Metabolism	Nitrogen metabolism
K00285	Metabolism	Energy Metabolism	Nitrogen metabolism
K00285	Metabolism	Amino Acid Metabolism	Phenylalanine metabolism
K00286	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
K00287	Metabolism	Metabolism of Cofactors and Vitamins	Folate biosynthesis
K00287	Metabolism	Metabolism of Cofactors and Vitamins	One carbon pool by folate
K00288	Metabolism	Metabolism of Cofactors and Vitamins	One carbon pool by folate
K00289	Metabolism	Metabolism of Cofactors and Vitamins	One carbon pool by folate
K00290	Metabolism	Amino Acid Metabolism	Lysine biosynthesis
K00290	Metabolism	Amino Acid Metabolism	Lysine degradation
K00291	Metabolism	Amino Acid Metabolism	Lysine biosynthesis
K00291	Metabolism	Amino Acid Metabolism	Lysine degradation
K00292	Metabolism	Amino Acid Metabolism	Lysine degradation
K00293	Metabolism	Amino Acid Metabolism	Lysine biosynthesis
K00293	Metabolism	Amino Acid Metabolism	Lysine degradation
K00294	Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
K00294	Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
